Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless
2022,4,1,6,3,573
2022,3,1,6,3,557
2022,2,1,6,3,556
2022,1,2,6,2,546
2021,4,2,6,2,523
2021,3,2,6,2,492
2021,2,2,6,1,477
2021,1,2,5,1,435
2020,4,2,5,1,422
2020,3,2,5,1,413
2020,2,2,5,1,377
2020,1,2,5,1,352
2019,4,2,5,941,340
2019,3,3,5,852,338
2019,2,3,5,761,308
2019,1,3,4,637,276
2018,4,3,4,388,264
2018,3,4,4,247,246
2018,2,4,4,226,194
2018,1,4,4,217,165
2017,4,4,4,211,156
2017,3,4,4,194,106
2017,2,4,3,181,86
2017,1,4,3,180,85
2016,4,4,3,178,85
2016,3,4,3,170,81
2016,2,4,3,168,85
2016,1,4,3,164,85
2015,4,4,3,139,86
2015,3,4,3,163,85
2015,2,4,3,151,82
2015,1,4,3,168,79
2014,4,4,3,150,77
2014,3,4,3,155,85
2014,2,4,2,149,72
2014,1,4,2,150,71
