Año,Trimestre,Provincia,Banda ancha fija,Dial up
2022,4,Buenos Aires,5,6.0
2022,4,Capital Federal,2,2.0
2022,4,Catamarca,71,1.0
2022,4,Chaco,144,5.0
2022,4,Chubut,168,904.0
2022,4,Córdoba,1,68.0
2022,4,Corrientes,155,4.0
2022,4,Entre Ríos,271,22.0
2022,4,Formosa,62,0.0
2022,4,Jujuy,118,0.0
2022,4,La Pampa,114,171.0
2022,4,La Rioja,86,4.0
2022,4,Mendoza,291,777.0
2022,4,Misiones,186,0.0
2022,4,Neuquén,160,468.0
2022,4,Río Negro,162,548.0
2022,4,Salta,206,5.0
2022,4,San Juan,104,281.0
2022,4,San Luis,135,192.0
2022,4,Santa Cruz,50,198.0
2022,4,Santa Fe,888,110.0
2022,4,Santiago Del Estero,119,2.0
2022,4,Tierra Del Fuego,55,312.0
2022,4,Tucumán,263,30.0
2022,3,Buenos Aires,5,6.0
2022,3,Capital Federal,2,2.0
2022,3,Catamarca,70,1.0
2022,3,Chaco,144,5.0
2022,3,Chubut,165,904.0
2022,3,Córdoba,1,68.0
2022,3,Corrientes,145,4.0
2022,3,Entre Ríos,269,22.0
2022,3,Formosa,69,1.0
2022,3,Jujuy,119,0.0
2022,3,La Pampa,116,171.0
2022,3,La Rioja,87,4.0
2022,3,Mendoza,289,777.0
2022,3,Misiones,182,0.0
2022,3,Neuquén,163,468.0
2022,3,Río Negro,160,548.0
2022,3,Salta,205,5.0
2022,3,San Juan,103,281.0
2022,3,San Luis,122,182.0
2022,3,Santa Cruz,49,198.0
2022,3,Santa Fe,888,110.0
2022,3,Santiago Del Estero,119,2.0
2022,3,Tierra Del Fuego,54,312.0
2022,3,Tucumán,263,30.0
2022,2,Buenos Aires,5,6.0
2022,2,Capital Federal,2,2.0
2022,2,Catamarca,67,1.0
2022,2,Chaco,144,5.0
2022,2,Chubut,162,904.0
2022,2,Córdoba,1,68.0
2022,2,Corrientes,145,4.0
2022,2,Entre Ríos,269,22.0
2022,2,Formosa,68,0.0
2022,2,Jujuy,115,0.0
2022,2,La Pampa,111,171.0
2022,2,La Rioja,86,4.0
2022,2,Mendoza,279,777.0
2022,2,Misiones,179,0.0
2022,2,Neuquén,162,468.0
2022,2,Río Negro,159,548.0
2022,2,Salta,203,5.0
2022,2,San Juan,100,281.0
2022,2,San Luis,122,182.0
2022,2,Santa Cruz,49,198.0
2022,2,Santa Fe,879,110.0
2022,2,Santiago Del Estero,118,2.0
2022,2,Tierra Del Fuego,53,312.0
2022,2,Tucumán,254,30.0
2022,1,Buenos Aires,5,6.0
2022,1,Capital Federal,1,2.0
2022,1,Catamarca,62,1.0
2022,1,Chaco,144,5.0
2022,1,Chubut,171,927.0
2022,1,Córdoba,1,74.0
2022,1,Corrientes,143,4.0
2022,1,Entre Ríos,268,22.0
2022,1,Formosa,55,0.0
2022,1,Jujuy,117,0.0
2022,1,La Pampa,110,172.0
2022,1,La Rioja,84,4.0
2022,1,Mendoza,274,786.0
2022,1,Misiones,172,0.0
2022,1,Neuquén,149,471.0
2022,1,Río Negro,157,553.0
2022,1,Salta,198,5.0
2022,1,San Juan,88,290.0
2022,1,San Luis,120,185.0
2022,1,Santa Cruz,49,204.0
2022,1,Santa Fe,870,115.0
2022,1,Santiago Del Estero,116,2.0
2022,1,Tierra Del Fuego,52,313.0
2022,1,Tucumán,246,30.0
2021,4,Buenos Aires,5,6.0
2021,4,Capital Federal,1,2.0
2021,4,Catamarca,59,1.0
2021,4,Chaco,144,5.0
2021,4,Chubut,159,944.0
2021,4,Córdoba,987,77.0
2021,4,Corrientes,136,4.0
2021,4,Entre Ríos,265,22.0
2021,4,Formosa,54,0.0
2021,4,Jujuy,114,0.0
2021,4,La Pampa,107,173.0
2021,4,La Rioja,83,4.0
2021,4,Mendoza,267,804.0
2021,4,Misiones,171,0.0
2021,4,Neuquén,147,477.0
2021,4,Río Negro,153,564.0
2021,4,Salta,199,6.0
2021,4,San Juan,80,291.0
2021,4,San Luis,119,187.0
2021,4,Santa Cruz,48,210.0
2021,4,Santa Fe,866,176.0
2021,4,Santiago Del Estero,116,2.0
2021,4,Tierra Del Fuego,52,315.0
2021,4,Tucumán,239,30.0
2021,3,Buenos Aires,4,5.0
2021,3,Capital Federal,1,2.0
2021,3,Catamarca,56,1.0
2021,3,Chaco,140,3.0
2021,3,Chubut,155,800.0
2021,3,Córdoba,947,62.0
2021,3,Corrientes,134,3.0
2021,3,Entre Ríos,260,15.0
2021,3,Formosa,53,0.0
2021,3,Jujuy,111,0.0
2021,3,La Pampa,100,116.0
2021,3,La Rioja,82,3.0
2021,3,Mendoza,255,619.0
2021,3,Misiones,159,0.0
2021,3,Neuquén,139,373.0
2021,3,Río Negro,144,501.0
2021,3,Salta,196,2.0
2021,3,San Juan,79,256.0
2021,3,San Luis,118,148.0
2021,3,Santa Cruz,49,197.0
2021,3,Santa Fe,841,151.0
2021,3,Santiago Del Estero,115,1.0
2021,3,Tierra Del Fuego,50,289.0
2021,3,Tucumán,232,25.0
2021,2,Buenos Aires,4,5.0
2021,2,Capital Federal,1,2.0
2021,2,Catamarca,56,1.0
2021,2,Chaco,141,3.0
2021,2,Chubut,138,825.0
2021,2,Córdoba,931,62.0
2021,2,Corrientes,129,3.0
2021,2,Entre Ríos,258,15.0
2021,2,Formosa,52,0.0
2021,2,Jujuy,112,0.0
2021,2,La Pampa,98,116.0
2021,2,La Rioja,82,3.0
2021,2,Mendoza,229,619.0
2021,2,Misiones,156,0.0
2021,2,Neuquén,138,373.0
2021,2,Río Negro,144,501.0
2021,2,Salta,192,2.0
2021,2,San Juan,79,256.0
2021,2,San Luis,123,148.0
2021,2,Santa Cruz,49,197.0
2021,2,Santa Fe,840,151.0
2021,2,Santiago Del Estero,114,1.0
2021,2,Tierra Del Fuego,35,289.0
2021,2,Tucumán,233,25.0
2021,1,Buenos Aires,4,5.0
2021,1,Capital Federal,1,1.0
2021,1,Catamarca,52,1.0
2021,1,Chaco,140,3.0
2021,1,Chubut,132,825.0
2021,1,Córdoba,911,55.0
2021,1,Corrientes,127,3.0
2021,1,Entre Ríos,252,13.0
2021,1,Formosa,51,0.0
2021,1,Jujuy,110,0.0
2021,1,La Pampa,97,116.0
2021,1,La Rioja,53,3.0
2021,1,Mendoza,218,615.0
2021,1,Misiones,149,0.0
2021,1,Neuquén,133,373.0
2021,1,Río Negro,141,501.0
2021,1,Salta,188,2.0
2021,1,San Juan,78,256.0
2021,1,San Luis,119,148.0
2021,1,Santa Cruz,46,197.0
2021,1,Santa Fe,826,137.0
2021,1,Santiago Del Estero,112,1.0
2021,1,Tierra Del Fuego,40,289.0
2021,1,Tucumán,232,22.0
2020,4,Buenos Aires,4,5.0
2020,4,Capital Federal,1,1.0
2020,4,Catamarca,52,1.0
2020,4,Chaco,139,3.0
2020,4,Chubut,130,825.0
2020,4,Córdoba,903,55.0
2020,4,Corrientes,126,3.0
2020,4,Entre Ríos,247,13.0
2020,4,Formosa,50,0.0
2020,4,Jujuy,106,0.0
2020,4,La Pampa,97,116.0
2020,4,La Rioja,53,3.0
2020,4,Mendoza,215,615.0
2020,4,Misiones,147,0.0
2020,4,Neuquén,133,373.0
2020,4,Río Negro,141,501.0
2020,4,Salta,187,2.0
2020,4,San Juan,72,256.0
2020,4,San Luis,119,148.0
2020,4,Santa Cruz,40,197.0
2020,4,Santa Fe,821,137.0
2020,4,Santiago Del Estero,107,1.0
2020,4,Tierra Del Fuego,39,289.0
2020,4,Tucumán,231,22.0
2020,3,Buenos Aires,4,5.0
2020,3,Capital Federal,1,1.0
