Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Ingresos
2022,4,1,6,3,573,204796575
2022,3,1,6,3,557,180356862
2022,2,1,6,3,556,153032313
2022,1,2,6,2,546,130454676
2021,4,2,6,2,523,127389786
2021,3,2,6,2,492,117751925
2021,2,2,6,1,477,104782020
2021,1,2,5,1,435,93112153
2020,4,2,5,1,422,83479114
2020,3,2,5,1,413,79634755
2020,2,2,5,1,377,73538944
2020,1,2,5,1,352,72077147
2019,4,2,5,941,340,65388842
2019,3,3,5,852,338,60905891
2019,2,3,5,761,308,55338816
2019,1,3,4,637,276,50246691
2018,4,3,4,388,264,44026803
2018,3,4,4,247,246,43280089
2018,2,4,4,226,194,40653502
2018,1,4,4,217,165,38733946
2017,4,4,4,211,156,38110028
2017,3,4,4,194,106,35711689
2017,2,4,3,181,86,33509264
2017,1,4,3,180,85,31205565
2016,4,4,3,178,85,30143233
2016,3,4,3,170,81,27416177
2016,2,4,3,168,85,25353971
2016,1,4,3,164,85,24763052
2015,4,4,3,139,86,24881967
2015,3,4,3,163,85,21785238
2015,2,4,3,151,82,19945453
2015,1,4,3,168,79,19337342
2014,4,4,3,150,77,20012332
2014,3,4,3,155,85,18976053
2014,2,4,2,149,72,17680972
2014,1,4,2,150,71,15938353
