Año,Trimestre,Provincia,accesos_%home_prov,TrimestreAbs,Banda ancha fija,Dial up
2022,4,BUENOS AIRES,78.94,36,5,6.0
2022,4,CAPITAL FEDERAL,122.73,36,2,2.0
2022,4,CATAMARCA,65.77,36,71,1.0
2022,4,CHACO,43.62,36,144,5.0
2022,4,CHUBUT,85.57,36,168,904.0
2022,4,CÓRDOBA,89.03,36,1,68.0
2022,4,CORRIENTES,51.64,36,155,4.0
2022,4,ENTRE RÍOS,64.01,36,271,22.0
2022,4,FORMOSA,39.41,36,62,0.0
2022,4,JUJUY,58.46,36,118,0.0
2022,4,LA PAMPA,94.8,36,114,171.0
2022,4,LA RIOJA,79.86,36,86,4.0
2022,4,MENDOZA,51.36,36,291,777.0
2022,4,MISIONES,52.85,36,186,0.0
2022,4,NEUQUÉN,78.67,36,160,468.0
2022,4,RÍO NEGRO,68.42,36,162,548.0
2022,4,SALTA,57.96,36,206,5.0
2022,4,SAN JUAN,50.88,36,104,281.0
2022,4,SAN LUIS,90.27,36,135,192.0
2022,4,SANTA CRUZ,43.53,36,50,198.0
2022,4,SANTA FE,78.4,36,888,110.0
2022,4,SANTIAGO DEL ESTERO,48.05,36,119,2.0
2022,4,TIERRA DEL FUEGO,101.44,36,55,312.0
2022,4,TUCUMÁN,61.04,36,263,30.0
2022,3,BUENOS AIRES,78.11,35,5,6.0
2022,3,CAPITAL FEDERAL,122.28,35,2,2.0
2022,3,CATAMARCA,65.33,35,70,1.0
2022,3,CHACO,43.86,35,144,5.0
2022,3,CHUBUT,84.38,35,165,904.0
2022,3,CÓRDOBA,88.31,35,1,68.0
2022,3,CORRIENTES,48.21,35,145,4.0
2022,3,ENTRE RÍOS,63.67,35,269,22.0
2022,3,FORMOSA,43.76,35,69,1.0
2022,3,JUJUY,58.91,35,119,0.0
2022,3,LA PAMPA,96.59,35,116,171.0
2022,3,LA RIOJA,80.66,35,87,4.0
2022,3,MENDOZA,51.03,35,289,777.0
2022,3,MISIONES,51.82,35,182,0.0
2022,3,NEUQUÉN,80.37,35,163,468.0
2022,3,RÍO NEGRO,67.98,35,160,548.0
2022,3,SALTA,57.76,35,205,5.0
2022,3,SAN JUAN,50.8,35,103,281.0
2022,3,SAN LUIS,81.74,35,122,182.0
2022,3,SANTA CRUZ,43.19,35,49,198.0
2022,3,SANTA FE,78.55,35,888,110.0
2022,3,SANTIAGO DEL ESTERO,47.98,35,119,2.0
2022,3,TIERRA DEL FUEGO,99.51,35,54,312.0
2022,3,TUCUMÁN,61.14,35,263,30.0
2022,2,BUENOS AIRES,77.58,34,5,6.0
2022,2,CAPITAL FEDERAL,121.31,34,2,2.0
2022,2,CATAMARCA,62.4,34,67,1.0
2022,2,CHACO,43.79,34,144,5.0
2022,2,CHUBUT,83.19,34,162,904.0
2022,2,CÓRDOBA,87.48,34,1,68.0
2022,2,CORRIENTES,48.35,34,145,4.0
2022,2,ENTRE RÍOS,63.9,34,269,22.0
2022,2,FORMOSA,43.42,34,68,0.0
2022,2,JUJUY,57.32,34,115,0.0
2022,2,LA PAMPA,92.98,34,111,171.0
2022,2,LA RIOJA,80.14,34,86,4.0
2022,2,MENDOZA,49.39,34,279,777.0
2022,2,MISIONES,51.0,34,179,0.0
2022,2,NEUQUÉN,80.02,34,162,468.0
2022,2,RÍO NEGRO,67.85,34,159,548.0
2022,2,SALTA,57.54,34,203,5.0
2022,2,SAN JUAN,49.46,34,100,281.0
2022,2,SAN LUIS,81.76,34,122,182.0
2022,2,SANTA CRUZ,43.15,34,49,198.0
2022,2,SANTA FE,77.9,34,879,110.0
2022,2,SANTIAGO DEL ESTERO,47.7,34,118,2.0
2022,2,TIERRA DEL FUEGO,99.86,34,53,312.0
2022,2,TUCUMÁN,59.31,34,254,30.0
2022,1,BUENOS AIRES,76.08,33,5,6.0
2022,1,CAPITAL FEDERAL,111.8,33,1,2.0
2022,1,CATAMARCA,58.21,33,62,1.0
2022,1,CHACO,44.06,33,144,5.0
2022,1,CHUBUT,88.05,33,171,927.0
2022,1,CÓRDOBA,85.76,33,1,74.0
2022,1,CORRIENTES,47.64,33,143,4.0
2022,1,ENTRE RÍOS,63.7,33,268,22.0
2022,1,FORMOSA,34.96,33,55,0.0
2022,1,JUJUY,58.06,33,117,0.0
2022,1,LA PAMPA,91.66,33,110,172.0
2022,1,LA RIOJA,78.77,33,84,4.0
2022,1,MENDOZA,48.74,33,274,786.0
2022,1,MISIONES,49.04,33,172,0.0
2022,1,NEUQUÉN,74.17,33,149,471.0
2022,1,RÍO NEGRO,67.04,33,157,553.0
2022,1,SALTA,56.11,33,198,5.0
2022,1,SAN JUAN,43.55,33,88,290.0
2022,1,SAN LUIS,80.72,33,120,185.0
2022,1,SANTA CRUZ,43.34,33,49,204.0
2022,1,SANTA FE,77.3,33,870,115.0
2022,1,SANTIAGO DEL ESTERO,47.17,33,116,2.0
2022,1,TIERRA DEL FUEGO,98.29,33,52,313.0
2022,1,TUCUMÁN,57.39,33,246,30.0
2021,4,BUENOS AIRES,75.66,32,5,6.0
2021,4,CAPITAL FEDERAL,111.27,32,1,2.0
2021,4,CATAMARCA,55.25,32,59,1.0
2021,4,CHACO,44.05,32,144,5.0
2021,4,CHUBUT,82.57,32,159,944.0
2021,4,CÓRDOBA,84.51,32,987,77.0
2021,4,CORRIENTES,45.51,32,136,4.0
2021,4,ENTRE RÍOS,63.16,32,265,22.0
2021,4,FORMOSA,34.45,32,54,0.0
2021,4,JUJUY,56.92,32,114,0.0
2021,4,LA PAMPA,89.57,32,107,173.0
2021,4,LA RIOJA,77.92,32,83,4.0
2021,4,MENDOZA,47.51,32,267,804.0
2021,4,MISIONES,49.06,32,171,0.0
2021,4,NEUQUÉN,73.3,32,147,477.0
2021,4,RÍO NEGRO,65.69,32,153,564.0
2021,4,SALTA,56.81,32,199,6.0
2021,4,SAN JUAN,39.59,32,80,291.0
2021,4,SAN LUIS,80.3,32,119,187.0
2021,4,SANTA CRUZ,43.05,32,48,210.0
2021,4,SANTA FE,77.09,32,866,176.0
2021,4,SANTIAGO DEL ESTERO,47.05,32,116,2.0
2021,4,TIERRA DEL FUEGO,98.4,32,52,315.0
2021,4,TUCUMÁN,55.93,32,239,30.0
2021,3,BUENOS AIRES,71.68,31,4,5.0
2021,3,CAPITAL FEDERAL,111.27,31,1,2.0
2021,3,CATAMARCA,52.71,31,56,1.0
2021,3,CHACO,42.96,31,140,3.0
2021,3,CHUBUT,80.71,31,155,800.0
2021,3,CÓRDOBA,81.28,31,947,62.0
2021,3,CORRIENTES,44.9,31,134,3.0
2021,3,ENTRE RÍOS,62.18,31,260,15.0
2021,3,FORMOSA,33.96,31,53,0.0
2021,3,JUJUY,55.69,31,111,0.0
2021,3,LA PAMPA,84.28,31,100,116.0
2021,3,LA RIOJA,77.26,31,82,3.0
2021,3,MENDOZA,45.55,31,255,619.0
2021,3,MISIONES,45.57,31,159,0.0
2021,3,NEUQUÉN,69.71,31,139,373.0
2021,3,RÍO NEGRO,61.97,31,144,501.0
2021,3,SALTA,55.96,31,196,2.0
2021,3,SAN JUAN,39.46,31,79,256.0
2021,3,SAN LUIS,79.87,31,118,148.0
2021,3,SANTA CRUZ,43.75,31,49,197.0
2021,3,SANTA FE,75.02,31,841,151.0
2021,3,SANTIAGO DEL ESTERO,47.0,31,115,1.0
2021,3,TIERRA DEL FUEGO,94.95,31,50,289.0
2021,3,TUCUMÁN,54.64,31,232,25.0
2021,2,BUENOS AIRES,70.0,30,4,5.0
2021,2,CAPITAL FEDERAL,110.14,30,1,2.0
2021,2,CATAMARCA,52.34,30,56,1.0
2021,2,CHACO,43.33,30,141,3.0
2021,2,CHUBUT,72.29,30,138,825.0
2021,2,CÓRDOBA,80.12,30,931,62.0
2021,2,CORRIENTES,43.54,30,129,3.0
2021,2,ENTRE RÍOS,61.66,30,258,15.0
2021,2,FORMOSA,33.23,30,52,0.0
2021,2,JUJUY,56.18,30,112,0.0
2021,2,LA PAMPA,82.08,30,98,116.0
2021,2,LA RIOJA,76.98,30,82,3.0
2021,2,MENDOZA,40.97,30,229,619.0
2021,2,MISIONES,45.01,30,156,0.0
2021,2,NEUQUÉN,69.14,30,138,373.0
2021,2,RÍO NEGRO,61.94,30,144,501.0
2021,2,SALTA,54.93,30,192,2.0
2021,2,SAN JUAN,39.28,30,79,256.0
2021,2,SAN LUIS,83.48,30,123,148.0
2021,2,SANTA CRUZ,44.01,30,49,197.0
2021,2,SANTA FE,75.07,30,840,151.0
2021,2,SANTIAGO DEL ESTERO,46.56,30,114,1.0
2021,2,TIERRA DEL FUEGO,67.89,30,35,289.0
2021,2,TUCUMÁN,54.93,30,233,25.0
2021,1,BUENOS AIRES,69.11,29,4,5.0
2021,1,CAPITAL FEDERAL,108.42,29,1,1.0
2021,1,CATAMARCA,48.9,29,52,1.0
2021,1,CHACO,43.14,29,140,3.0
2021,1,CHUBUT,68.99,29,132,825.0
2021,1,CÓRDOBA,78.59,29,911,55.0
2021,1,CORRIENTES,42.66,29,127,3.0
2021,1,ENTRE RÍOS,60.44,29,252,13.0
2021,1,FORMOSA,32.73,29,51,0.0
2021,1,JUJUY,55.63,29,110,0.0
2021,1,LA PAMPA,81.78,29,97,116.0
2021,1,LA RIOJA,49.81,29,53,3.0
2021,1,MENDOZA,39.15,29,218,615.0
2021,1,MISIONES,43.17,29,149,0.0
2021,1,NEUQUÉN,66.84,29,133,373.0
2021,1,RÍO NEGRO,60.88,29,141,501.0
2021,1,SALTA,53.93,29,188,2.0
2021,1,SAN JUAN,39.06,29,78,256.0
2021,1,SAN LUIS,81.24,29,119,148.0
2021,1,SANTA CRUZ,41.65,29,46,197.0
2021,1,SANTA FE,73.92,29,826,137.0
2021,1,SANTIAGO DEL ESTERO,45.67,29,112,1.0
2021,1,TIERRA DEL FUEGO,77.35,29,40,289.0
2021,1,TUCUMÁN,54.82,29,232,22.0
2020,4,BUENOS AIRES,68.98,28,4,5.0
2020,4,CAPITAL FEDERAL,108.31,28,1,1.0
2020,4,CATAMARCA,49.41,28,52,1.0
2020,4,CHACO,43.03,28,139,3.0
2020,4,CHUBUT,68.35,28,130,825.0
2020,4,CÓRDOBA,78.08,28,903,55.0
2020,4,CORRIENTES,42.43,28,126,3.0
2020,4,ENTRE RÍOS,59.47,28,247,13.0
2020,4,FORMOSA,32.49,28,50,0.0
2020,4,JUJUY,53.46,28,106,0.0
2020,4,LA PAMPA,81.77,28,97,116.0
2020,4,LA RIOJA,50.11,28,53,3.0
2020,4,MENDOZA,38.63,28,215,615.0
2020,4,MISIONES,42.64,28,147,0.0
2020,4,NEUQUÉN,67.0,28,133,373.0
2020,4,RÍO NEGRO,61.09,28,141,501.0
2020,4,SALTA,54.04,28,187,2.0
2020,4,SAN JUAN,36.32,28,72,256.0
2020,4,SAN LUIS,81.68,28,119,148.0
2020,4,SANTA CRUZ,37.0,28,40,197.0
2020,4,SANTA FE,73.58,28,821,137.0
2020,4,SANTIAGO DEL ESTERO,43.75,28,107,1.0
2020,4,TIERRA DEL FUEGO,76.27,28,39,289.0
2020,4,TUCUMÁN,54.78,28,231,22.0
2020,3,BUENOS AIRES,67.66,27,4,5.0
2020,3,CAPITAL FEDERAL,107.68,27,1,1.0
2020,3,CATAMARCA,47.16,27,50,1.0
2020,3,CHACO,41.54,27,134,3.0
2020,3,CHUBUT,68.34,27,129,825.0
2020,3,CÓRDOBA,75.22,27,867,55.0
2020,3,CORRIENTES,41.75,27,123,3.0
2020,3,ENTRE RÍOS,58.19,27,241,13.0
2020,3,FORMOSA,31.91,27,49,0.0
2020,3,JUJUY,54.04,27,107,0.0
2020,3,LA PAMPA,79.26,27,94,116.0
2020,3,LA RIOJA,50.12,27,53,3.0
2020,3,MENDOZA,37.35,27,207,615.0
2020,3,MISIONES,41.6,27,143,0.0
2020,3,NEUQUÉN,65.24,27,129,373.0
2020,3,RÍO NEGRO,57.05,27,131,501.0
2020,3,SALTA,52.32,27,181,2.0
2020,3,SAN JUAN,38.79,27,77,256.0
2020,3,SAN LUIS,79.96,27,116,148.0
2020,3,SANTA CRUZ,35.95,27,39,197.0
2020,3,SANTA FE,72.12,27,803,137.0
2020,3,SANTIAGO DEL ESTERO,43.38,27,105,1.0
2020,3,TIERRA DEL FUEGO,76.81,27,39,289.0
2020,3,TUCUMÁN,53.23,27,224,22.0
2020,2,BUENOS AIRES,65.22,26,4,5.0
2020,2,CAPITAL FEDERAL,106.41,26,1,1.0
2020,2,CATAMARCA,45.43,26,48,1.0
2020,2,CHACO,39.83,26,128,3.0
2020,2,CHUBUT,57.34,26,108,825.0
2020,2,CÓRDOBA,72.71,26,836,55.0
2020,2,CORRIENTES,40.3,26,119,3.0
2020,2,ENTRE RÍOS,56.54,26,234,13.0
2020,2,FORMOSA,31.14,26,48,0.0
2020,2,JUJUY,47.89,26,94,0.0
2020,2,LA PAMPA,76.1,26,90,116.0
2020,2,LA RIOJA,49.84,26,52,3.0
2020,2,MENDOZA,36.25,26,201,615.0
2020,2,MISIONES,40.89,26,140,0.0
2020,2,NEUQUÉN,63.9,26,126,373.0
2020,2,RÍO NEGRO,56.37,26,129,501.0
2020,2,SALTA,51.58,26,178,2.0
2020,2,SAN JUAN,35.09,26,70,256.0
2020,2,SAN LUIS,78.41,26,114,148.0
2020,2,SANTA CRUZ,35.79,26,39,197.0
2020,2,SANTA FE,70.0,26,778,137.0
2020,2,SANTIAGO DEL ESTERO,43.47,26,105,1.0
2020,2,TIERRA DEL FUEGO,76.37,26,39,289.0
2020,2,TUCUMÁN,51.78,26,217,22.0
2020,1,BUENOS AIRES,64.33,25,4,5.0
2020,1,CAPITAL FEDERAL,105.98,25,1,1.0
2020,1,CATAMARCA,37.62,25,40,1.0
2020,1,CHACO,37.48,25,120,3.0
2020,1,CHUBUT,51.27,25,96,800.0
2020,1,CÓRDOBA,70.69,25,811,55.0
2020,1,CORRIENTES,38.73,25,114,3.0
2020,1,ENTRE RÍOS,56.12,25,232,13.0
2020,1,FORMOSA,30.23,25,46,0.0
2020,1,JUJUY,46.67,25,92,0.0
2020,1,LA PAMPA,75.77,25,89,116.0
2020,1,LA RIOJA,46.35,25,48,3.0
2020,1,MENDOZA,33.14,25,183,615.0
2020,1,MISIONES,39.02,25,134,0.0
2020,1,NEUQUÉN,61.85,25,121,373.0
