Provincia,ADSL_TOTAL,Cablemódem_TOTAL,Dial_Up_TOTAL,Fibra_óptica_TOTAL,4G_TOTAL,3G_TOTAL,Telefonía_Fija_TOTAL,Wireless_TOTAL,Satelital_TOTAL,Tecnologias_Total
BUENOS AIRES,356,342,213.0,463,655,590,551,502,155,3827.0
MENDOZA,30,18,28.0,76,128,118,76,107,16,597.0
CABA,48,48,48.0,48,48,48,48,48,48,432.0
CATAMARCA,7,1,1.0,23,57,29,56,34,47,255.0
CORDOBA,179,88,5.0,175,344,277,318,291,73,1750.0
ENTRE RIOS,47,39,4.0,48,128,78,130,126,20,620.0
SALTA,32,16,1.0,86,88,43,64,71,66,467.0
SANTA CRUZ,5,5,7.0,9,16,15,17,10,22,106.0
SANTA FE,174,138,3.0,140,296,179,291,253,65,1539.0
CHACO,28,12,1.0,45,75,44,47,46,42,340.0
FORMOSA,13,3,0.0,16,42,16,31,59,22,
MISIONES,29,25,0.0,39,86,40,59,52,26,
SAN JUAN,9,1,11.0,12,49,41,39,73,19,254.0
CHUBUT,14,10,15.0,13,38,31,55,31,49,256.0
JUJUY,19,15,0.0,47,45,28,57,39,44,
NEUQUEN,16,10,17.0,19,34,20,41,42,36,235.0
CORRIENTES,21,9,1.0,12,70,39,51,46,52,301.0
RIO NEGRO,23,12,21.0,45,65,55,52,52,69,394.0
LA PAMPA,10,18,13.0,51,47,31,69,68,61,368.0
SANTIAGO DEL ESTERO,14,17,1.0,72,91,41,45,81,80,442.0
TUCUMAN,30,5,1.0,20,89,70,60,49,15,339.0
LA RIOJA,12,22,1.0,29,36,14,41,53,16,224.0
SAN LUIS,10,7,9.0,36,41,28,42,88,16,277.0
TIERRA DEL FUEGO,3,2,2.0,3,6,5,3,3,4,31.0
