Provincia,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
BUENOS AIRES,True,False,False,False,True,True,True,False,False
BUENOS AIRES,False,False,False,False,True,True,True,False,False
BUENOS AIRES,False,False,True,False,True,True,True,True,False
BUENOS AIRES,False,False,False,False,True,False,False,False,False
BUENOS AIRES,True,False,False,True,True,True,True,False,False
BUENOS AIRES,False,False,False,False,True,False,True,False,False
BUENOS AIRES,False,False,False,False,False,False,True,True,False
BUENOS AIRES,False,False,False,False,False,False,True,False,False
BUENOS AIRES,True,False,False,False,False,True,True,True,False
BUENOS AIRES,False,False,False,True,True,True,True,True,False
BUENOS AIRES,True,False,True,True,True,True,True,True,False
BUENOS AIRES,False,False,False,True,True,False,True,False,False
BUENOS AIRES,False,False,False,False,False,False,False,False,False
BUENOS AIRES,False,False,False,False,True,False,False,False,False
BUENOS AIRES,False,False,False,False,True,False,False,False,False
BUENOS AIRES,True,True,True,True,True,True,True,True,True
BUENOS AIRES,False,False,True,False,True,True,True,True,False
BUENOS AIRES,False,False,False,False,True,True,True,True,True
BUENOS AIRES,True,True,True,True,True,True,True,True,True
BUENOS AIRES,False,True,True,True,True,True,True,True,False
BUENOS AIRES,True,True,True,True,True,True,True,True,False
BUENOS AIRES,False,False,False,False,True,True,False,False,False
BUENOS AIRES,False,False,False,True,True,True,False,False,True
BUENOS AIRES,True,False,False,True,True,True,True,True,True
BUENOS AIRES,False,False,False,False,False,False,True,True,False
BUENOS AIRES,False,False,False,False,True,True,False,False,False
BUENOS AIRES,True,False,False,True,True,True,False,True,False
BUENOS AIRES,True,True,True,True,True,True,True,True,True
BUENOS AIRES,False,False,False,False,True,True,False,False,False
BUENOS AIRES,True,False,False,True,True,True,True,True,False
BUENOS AIRES,False,False,False,True,True,True,False,False,False
BUENOS AIRES,False,False,False,False,True,True,False,False,False
BUENOS AIRES,True,True,True,False,True,True,True,True,True
BUENOS AIRES,True,True,False,False,True,True,True,True,False
BUENOS AIRES,True,False,False,True,False,False,True,True,False
BUENOS AIRES,False,True,False,False,True,True,False,True,True
BUENOS AIRES,False,False,False,False,False,False,False,True,False
BUENOS AIRES,True,False,False,True,True,True,True,True,False
BUENOS AIRES,True,False,False,False,True,True,True,False,False
BUENOS AIRES,False,False,False,True,True,True,True,True,False
BUENOS AIRES,False,False,False,False,False,False,True,False,False
BUENOS AIRES,False,False,False,False,True,True,False,False,True
BUENOS AIRES,True,True,True,True,True,True,True,True,True
BUENOS AIRES,False,False,False,False,False,False,False,True,False
MENDOZA,False,False,False,False,False,False,False,False,False
CABA,True,True,True,True,True,True,True,True,True
CATAMARCA,False,False,False,False,True,False,False,False,True
CATAMARCA,False,False,False,False,True,False,False,False,False
CATAMARCA,False,False,False,False,True,False,True,False,True
CATAMARCA,False,False,False,False,False,False,False,False,False
CATAMARCA,False,False,False,False,False,False,False,False,False
CATAMARCA,False,False,False,False,False,False,False,False,False
CATAMARCA,False,False,False,False,True,True,False,False,True
CATAMARCA,False,False,False,False,False,False,False,False,False
CATAMARCA,False,False,False,False,False,True,True,False,False
CATAMARCA,True,False,False,True,True,True,True,True,True
CATAMARCA,False,False,False,False,False,False,False,False,False
CATAMARCA,False,False,False,True,False,False,False,True,True
